episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
91,760.0,722,56115,0.1,0.07850755279780262,215.6671527089784,True,False
92,340.0,433,56548,0.1,0.07782684734791791,217.21525799995288,True,False
93,480.0,508,57056,0.1,0.06980983974544082,219.01878404198214,True,False
94,540.0,443,57499,0.1,0.10362224031917074,220.59971416695043,True,False
95,890.0,700,58199,0.1,0.07836686281221253,223.06874591700034,True,False
96,460.0,463,58662,0.1,0.09190522563033576,224.7328864999581,True,False
97,440.0,477,59139,0.1,0.0899478922433713,226.42538429197157,True,False
98,1140.0,690,59829,0.1,0.08418523919677114,228.87055799999507,True,False
99,450.0,463,60292,0.1,0.09374460330682582,230.544576958986,True,False
100,500.0,451,60743,0.1,0.08992192021105438,232.14787283400074,True,False
101,280.0,453,61196,0.1,0.08854618580325653,234.87896733399248,True,False
102,320.0,379,61575,0.1,0.10091355575763798,236.23196537495824,True,False
103,220.0,376,61951,0.1,0.10820112940161786,237.56534524995368,True,False
104,1110.0,732,62683,0.1,0.08965019887832344,240.17512425000314,True,False
105,470.0,654,63337,0.1,0.09743487259668367,242.5139083749964,True,False
106,1030.0,681,64018,0.1,0.09289537693428643,244.9194851249922,True,False
107,870.0,867,64885,0.1,0.09039270757238299,248.03103266697144,True,False
108,680.0,708,65593,0.1,0.09501251336292359,250.57635312498314,True,False
109,1010.0,855,66448,0.1,0.08458298512203531,253.5827195419697,True,False
110,1040.0,828,67276,0.1,0.0865980300080517,256.5101767499582,True,False
111,890.0,467,67743,0.1,0.08719146629827547,258.15437120897695,True,False
112,790.0,808,68551,0.1,0.07540568256621609,261.0149243749911,True,False
113,1420.0,773,69324,0.1,0.07777547624115784,264.614995833952,True,False
114,1330.0,603,69927,0.1,0.07487208370119333,268.34731349995127,True,False
115,570.0,542,70469,0.1,0.08021535209434874,271.1749824999715,True,False
116,440.0,417,70886,0.1,0.07633659344775459,273.9335424589808,True,False
117,500.0,589,71475,0.1,0.08238151404677199,279.1862965420005,True,False
118,430.0,493,71968,0.1,0.0961928768984733,281.01815891696606,True,False
119,3690.0,1083,73051,0.1,0.0954172574363097,286.4506452920032,True,False
120,1360.0,856,73907,0.1,0.08983233339092303,290.32715487497626,True,False
121,1300.0,1010,74917,0.1,0.09877460832770163,293.99270895897644,True,False
122,680.0,655,75572,0.1,0.09421405864016312,296.3440883749863,True,False
123,270.0,328,75900,0.1,0.06860802078437878,297.5264844999765,True,False
124,320.0,418,76318,0.1,0.08612382197931695,299.03238674998283,True,False
125,810.0,581,76899,0.1,0.08587804831050594,301.0997917499626,True,False
126,550.0,483,77382,0.1,0.09027978563142464,303.9611609589774,True,False
127,1060.0,967,78349,0.1,0.1058736503516778,307.3845535419532,True,False
128,450.0,435,78784,0.1,0.11107268902139926,309.1699095419608,True,False
129,650.0,692,79476,0.1,0.11185888006120404,312.1212756249588,True,False
130,510.0,443,79919,0.1,0.10455095910213211,313.7103135419893,True,False
131,680.0,628,80547,0.1,0.10812075012571114,315.9527609589859,True,False
